season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,12,16,0,5,1,1,0.42,0.4242,0.47,0.194,283
4,10,9,0,0,0,2,0.5,0.4848,0.55,0.4179,330
3,9,1,0,0,0,2,0.62,0.5606,0.88,0,88
3,6,22,0,3,1,1,0.7,0.6364,0.42,0.194,183
3,7,12,0,1,1,2,0.8,0.7424,0.52,0.1642,314
2,5,19,0,0,0,1,0.76,0.7121,0.58,0.194,442
2,5,20,0,2,1,2,0.64,0.6061,0.69,0.2836,302
2,6,11,0,2,1,3,0.66,0.6061,0.83,0.3582,65
3,9,2,0,3,1,1,0.54,0.5152,0.94,0,6
2,4,7,0,3,1,2,0.58,0.5455,0.88,0.2836,246
2,5,10,0,4,1,1,0.64,0.6061,0.65,0.1343,185
3,6,18,0,2,1,2,0.76,0.7273,0.7,0.2537,536
4,10,13,0,6,0,2,0.64,0.6212,0.57,0.5224,710
2,4,8,0,6,0,1,0.4,0.4091,0.54,0.2985,91
4,11,14,0,5,1,1,0.52,0.5,0.39,0.2239,272
3,7,7,0,0,0,1,0.8,0.803,0.66,0,52
1,2,22,0,0,0,1,0.26,0.2727,0.6,0.1045,191
3,8,13,0,0,0,1,0.76,0.6818,0.45,0.3582,431
4,12,7,0,1,1,1,0.14,0.1515,0.86,0.1343,235
3,7,7,0,5,1,2,0.7,0.6515,0.54,0,380
1,2,14,0,4,1,1,0.6,0.6212,0.31,0.2239,81
1,3,3,0,5,1,2,0.18,0.1667,0.74,0.2537,1
3,7,15,0,5,1,2,0.8,0.7121,0.36,0.1045,353
4,11,2,0,0,0,1,0.32,0.3333,0.87,0.1045,70
3,7,0,0,5,1,1,0.62,0.5909,0.73,0.2239,80
2,6,21,0,6,0,1,0.74,0.6515,0.4,0.194,316
2,3,0,0,3,1,2,0.32,0.3485,0.57,0,11
4,12,4,0,6,0,2,0.26,0.2727,0.65,0.1045,3
2,6,4,0,1,1,1,0.56,0.5303,0.94,0.1045,8
3,8,18,0,6,0,1,0.74,0.6515,0.37,0.1642,554
3,8,3,0,0,0,2,0.7,0.6667,0.84,0.1343,32
1,3,5,0,3,1,1,0.44,0.4394,0.82,0.1343,27
4,10,22,0,5,1,1,0.5,0.4848,0.68,0,146
1,2,11,0,6,0,1,0.3,0.2727,0.28,0.3284,114
3,7,22,0,2,1,2,0.64,0.5758,0.83,0.1343,139
2,5,1,0,4,1,1,0.6,0.5606,0.83,0.1642,28
3,8,1,0,1,1,1,0.72,0.697,0.79,0.0896,11
4,10,10,0,2,1,2,0.56,0.5303,0.68,0,102
1,1,6,0,2,1,1,0.16,0.1818,0.74,0.1045,36
4,9,10,0,1,1,2,0.64,0.5758,0.89,0.194,154
4,12,12,0,5,1,1,0.36,0.3333,0.57,0.2985,173
1,12,13,0,6,0,1,0.34,0.303,0.39,0.2985,121
1,2,10,0,4,1,1,0.42,0.4242,0.67,0.194,148
4,12,19,0,2,1,3,0.46,0.4545,1,0.2985,233
4,10,15,0,6,0,2,0.42,0.4242,0.71,0.2836,195
3,7,20,0,5,1,1,0.78,0.7424,0.59,0.1045,354
1,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
4,11,21,0,2,1,2,0.5,0.4848,0.77,0.0896,168
4,10,9,0,1,1,1,0.46,0.4545,0.63,0.0896,360
1,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
1,12,11,0,3,1,2,0.48,0.4697,0.82,0.4179,56
1,3,1,0,4,1,1,0.5,0.4848,0.59,0.1045,23
1,1,11,0,6,0,1,0.34,0.3182,0.57,0.2239,324
3,7,20,1,3,0,1,0.86,0.803,0.47,0.2239,551
4,11,4,0,5,1,1,0.22,0.2273,0.44,0.1642,5
3,7,13,0,6,0,1,0.76,0.6818,0.45,0.2985,497
4,10,16,0,0,0,1,0.52,0.5,0.55,0.194,405
1,2,8,0,5,1,3,0.36,0.3485,0.93,0.1343,73
4,11,11,0,6,0,1,0.38,0.3939,0.54,0.2836,315
2,5,22,0,4,1,2,0.64,0.5909,0.78,0.1045,243
4,9,13,0,2,1,2,0.7,0.6667,0.74,0.2239,151
1,2,13,0,3,1,1,0.4,0.4091,0.43,0.2836,170
1,2,22,0,5,1,2,0.24,0.2424,0.65,0.1642,46
4,10,0,0,2,1,2,0.4,0.4091,0.87,0.0896,27
4,12,13,0,3,1,2,0.36,0.3636,0.57,0.1045,133
4,9,17,0,1,1,1,0.58,0.5455,0.3,0,898
2,6,4,0,6,0,1,0.54,0.5152,0.68,0.1343,8
1,3,7,0,6,0,2,0.36,0.3485,0.93,0.1343,16
3,8,11,0,3,1,2,0.74,0.6818,0.58,0.194,235
3,7,18,0,2,1,2,0.86,0.7424,0.3,0,627
3,7,7,0,5,1,2,0.74,0.7121,0.79,0.0896,254
2,6,5,0,4,1,2,0.6,0.6212,0.56,0.2537,40
3,8,0,0,4,1,1,0.64,0.6061,0.69,0,65
1,3,14,0,0,0,1,0.4,0.4091,0.3,0,279
3,6,2,0,1,1,3,0.62,0.5909,0.78,0.1343,6
3,7,6,0,0,0,2,0.62,0.5758,0.83,0.0896,19
4,10,23,0,6,0,1,0.42,0.4242,0.58,0.2985,125
2,5,9,0,5,1,1,0.54,0.5152,0.68,0.2239,234
2,5,18,0,6,0,2,0.66,0.6212,0.31,0.194,546
3,9,19,0,1,1,2,0.56,0.5303,0.68,0.1045,374
3,9,15,0,5,1,2,0.7,0.6515,0.61,0.2537,346
1,3,7,0,4,1,1,0.32,0.3333,0.76,0.1343,140
1,12,22,0,0,0,1,0.24,0.2576,0.6,0.1045,58
2,4,18,0,3,1,1,0.52,0.5,0.29,0.3582,325
3,7,7,0,5,1,1,0.66,0.6212,0.54,0.1045,243
1,1,18,0,0,0,1,0.12,0.1212,0.3,0.2537,49
1,1,13,0,1,1,2,0.26,0.2727,0.56,0.1045,80
3,7,19,0,3,1,1,0.82,0.8485,0.67,0.1642,382
3,7,5,0,4,1,2,0.72,0.6818,0.7,0.1045,40
1,1,20,0,4,1,2,0.26,0.2424,0.6,0.2836,126
4,10,12,0,6,0,1,0.62,0.6212,0.35,0,446
3,7,9,0,1,1,1,0.74,0.697,0.67,0.2239,203
3,9,10,0,4,1,2,0.64,0.5758,0.89,0.2239,120
4,12,17,0,4,1,2,0.52,0.5,0.59,0.2836,324
4,12,18,0,4,1,1,0.32,0.3333,0.42,0.1045,466
4,9,23,0,0,0,1,0.48,0.4697,0.72,0.0896,57
2,6,5,0,1,1,3,0.62,0.5758,0.83,0.1343,3
3,7,17,0,3,1,1,0.74,0.697,0.7,0.2537,370
4,10,10,0,2,1,3,0.58,0.5455,0.88,0.1343,45
2,4,8,0,4,1,1,0.32,0.303,0.66,0.3284,624
1,2,16,0,0,0,1,0.36,0.3636,0.29,0.0896,147
3,7,15,0,0,0,1,0.9,0.8182,0.37,0.2836,345
2,6,20,0,5,1,1,0.72,0.6515,0.32,0.1343,408
2,4,11,0,6,0,1,0.52,0.5,0.45,0.194,564
2,3,5,0,5,1,1,0.32,0.3333,0.61,0.0896,26
2,3,11,0,2,1,2,0.34,0.303,0.25,0.3881,81
1,2,19,0,0,0,1,0.16,0.1364,0.4,0.2836,80
4,12,4,0,1,1,3,0.36,0.3788,1,0,5
4,10,20,0,1,1,1,0.48,0.4697,0.82,0.1045,129
4,10,10,0,5,1,1,0.34,0.3182,0.57,0.2239,130
3,8,2,0,0,0,2,0.64,0.5758,0.89,0.2239,116
1,1,17,0,2,1,1,0.3,0.3333,0.45,0,222
3,7,16,0,1,1,1,0.86,0.8485,0.56,0.3881,239
2,5,1,0,4,1,1,0.34,0.3333,0.71,0.194,10
4,9,11,0,2,1,1,0.6,0.6212,0.46,0.2985,218
1,12,21,0,4,1,2,0.24,0.2273,0.6,0.2537,63
3,7,18,0,1,1,1,0.76,0.7121,0.58,0.4179,812
4,10,13,0,5,1,2,0.58,0.5455,0.68,0.1343,337
2,4,6,0,6,0,2,0.3,0.2879,0.93,0.194,13
2,5,20,0,0,0,1,0.64,0.6061,0.65,0.1642,231
2,3,23,0,4,1,1,0.24,0.2273,0.65,0.194,33
4,10,8,0,1,1,2,0.46,0.4545,0.77,0.1045,784
4,11,7,0,3,1,1,0.26,0.2879,0.87,0.0896,273
2,3,3,0,4,1,1,0.58,0.5455,0.28,0.2537,5
4,11,13,0,3,1,1,0.36,0.3333,0.43,0.2537,214
1,3,20,0,3,1,1,0.62,0.6212,0.35,0.1045,330
2,4,5,0,1,1,1,0.4,0.4091,0.76,0.4925,24
2,5,2,0,0,0,2,0.54,0.5152,0.68,0.1642,82
4,11,10,0,5,1,1,0.36,0.3485,0.71,0.1642,142
1,1,4,0,0,0,2,0.16,0.1364,0.47,0.3881,6
3,7,8,0,2,1,1,0.7,0.6667,0.79,0.1343,760
1,3,21,0,6,0,1,0.54,0.5152,0.68,0.1642,223
2,5,9,0,0,0,1,0.6,0.6212,0.56,0.1343,222
1,3,12,0,2,1,2,0.36,0.3788,0.23,0,99
2,6,11,0,4,1,1,0.66,0.6212,0.57,0.2537,228
2,5,21,0,4,1,1,0.68,0.6364,0.44,0.1642,359
4,11,7,0,3,1,1,0.24,0.2121,0.65,0.2836,415
1,1,22,0,4,1,1,0.26,0.2576,0.6,0.1642,71
2,5,5,0,4,1,1,0.46,0.4545,0.72,0.2985,24
4,10,9,0,4,1,2,0.5,0.4848,0.77,0.1642,387
3,7,4,0,0,0,1,0.78,0.7576,0.66,0.1045,13
1,3,18,0,6,0,1,0.5,0.4848,0.25,0.2537,303
2,5,6,0,6,0,1,0.62,0.5606,0.88,0.194,31
3,7,9,0,3,1,1,0.82,0.7424,0.41,0.194,186
1,3,6,0,5,1,1,0.4,0.4091,0.66,0.194,36
2,3,13,0,3,1,2,0.54,0.5152,0.83,0,303
2,4,7,0,0,0,2,0.5,0.4848,1,0,27
3,7,3,0,1,1,1,0.66,0.6061,0.83,0,3
1,2,1,0,2,1,2,0.16,0.1818,0.69,0.1045,3
2,3,17,0,0,0,1,0.5,0.4848,0.72,0.0896,419
3,9,3,0,5,1,1,0.62,0.5758,0.83,0.0896,9
1,12,16,0,3,1,1,0.3,0.2727,0.36,0.4179,167
3,7,1,1,3,0,1,0.68,0.6364,0.74,0,123
2,4,15,0,0,0,2,0.46,0.4545,0.33,0,292
4,10,12,0,3,1,2,0.7,0.6515,0.7,0.1045,358
4,12,22,0,2,1,2,0.5,0.4848,0.63,0.2985,181
1,1,3,0,4,1,1,0.12,0.1515,0.54,0.1045,4
1,12,22,1,2,0,2,0.3,0.303,0.7,0.1642,19
1,1,4,0,2,1,2,0.2,0.2121,0.86,0.1642,4
3,8,11,0,1,1,2,0.72,0.6818,0.62,0.2537,153
4,10,12,0,5,1,1,0.5,0.4848,0.45,0.2985,240
3,9,5,0,1,1,1,0.5,0.4848,0.72,0.2537,40
2,5,13,0,6,0,1,0.7,0.6364,0.45,0,462
2,4,10,0,3,1,2,0.4,0.4091,0.87,0.194,46
2,4,9,0,2,1,1,0.42,0.4242,0.67,0.194,319
2,4,4,0,1,1,1,0.38,0.3939,0.71,0.2985,2
2,5,3,0,2,1,3,0.58,0.5455,0.83,0.1343,6
2,5,5,0,6,0,1,0.46,0.4545,0.67,0,12
1,2,21,1,1,0,1,0.3,0.303,0.39,0.1642,98
2,4,13,0,5,1,3,0.34,0.3333,0.87,0.194,40
3,9,3,0,4,1,3,0.62,0.5455,0.94,0,2
3,7,3,0,2,1,1,0.66,0.6061,0.83,0.1642,6
3,8,9,0,3,1,1,0.74,0.6667,0.48,0.0896,209
2,5,17,0,3,1,2,0.64,0.6212,0.53,0.1343,705
3,6,8,0,6,0,1,0.7,0.6515,0.48,0.2537,112
4,11,18,0,0,0,1,0.52,0.5,0.27,0.3284,190
2,4,17,0,1,1,1,0.58,0.5455,0.49,0.2836,428
1,1,18,0,4,1,1,0.44,0.4394,0.67,0.194,421
4,11,10,0,6,0,1,0.36,0.3333,0.46,0.2537,320
4,10,1,0,4,1,2,0.54,0.5152,0.94,0,12
2,3,17,0,6,0,1,0.48,0.4697,0.67,0.4179,543
1,1,22,0,6,0,1,0.16,0.197,0.8,0.0896,32
1,2,4,0,1,1,1,0.12,0.1667,0.54,0.0896,2
2,5,19,0,2,1,1,0.66,0.6212,0.69,0.1642,512
2,4,11,0,5,1,1,0.46,0.4545,0.36,0.1343,233
1,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
2,3,0,0,4,1,1,0.52,0.5,0.83,0.0896,41
1,1,13,0,5,1,1,0.22,0.2121,0.32,0.2985,156
4,9,9,0,4,1,1,0.66,0.6212,0.65,0,335
3,7,1,0,5,1,1,0.72,0.697,0.79,0,34
3,7,5,0,3,1,1,0.68,0.6364,0.83,0.1045,23
4,11,18,0,3,1,3,0.46,0.4545,0.88,0.3881,189
2,6,7,0,5,1,2,0.64,0.5758,0.89,0.194,402
4,11,14,0,0,0,1,0.52,0.5,0.63,0.2537,363
3,7,8,0,0,0,2,0.7,0.6667,0.84,0.1343,133
2,3,5,0,4,1,3,0.24,0.2273,0.93,0.2239,8
2,3,14,0,4,1,3,0.3,0.303,0.87,0.1343,76
4,12,14,0,4,1,2,0.36,0.3485,0.53,0.194,214
1,3,13,0,6,0,1,0.44,0.4394,0.51,0.2836,339
3,7,22,0,4,1,1,0.8,0.7424,0.49,0.6119,234
4,10,13,0,1,1,2,0.44,0.4394,0.44,0.2239,152
2,4,21,0,3,1,1,0.46,0.4545,0.41,0.2836,102
3,8,12,0,6,0,3,0.66,0.6061,0.83,0.4925,76
1,12,10,0,5,1,1,0.32,0.2879,0.42,0.4627,154
1,1,23,1,1,0,1,0.22,0.2121,0.44,0.2537,34
3,8,16,0,2,1,1,0.86,0.7727,0.39,0.2985,285
1,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
2,3,22,0,5,1,1,0.6,0.6061,0.64,0.2836,271
1,2,13,0,1,1,1,0.38,0.3939,0.4,0.2239,141
2,6,15,0,5,1,1,0.76,0.6667,0.29,0.2836,397
1,1,4,0,5,1,3,0.32,0.2879,0.7,0.4925,3
1,2,9,0,2,1,2,0.26,0.2879,0.56,0.0896,262
3,9,5,0,3,1,2,0.7,0.6667,0.79,0.2985,40
2,5,11,0,3,1,2,0.54,0.5152,0.94,0.0896,23
1,2,22,0,5,1,1,0.26,0.2121,0.48,0.4478,50
1,3,1,0,3,1,1,0.3,0.2727,0.61,0.2985,5
2,6,7,0,4,1,1,0.6,0.6061,0.6,0.2836,506
2,3,12,0,4,1,2,0.3,0.2727,0.7,0.3284,94
3,8,7,0,0,0,1,0.74,0.7121,0.74,0.2985,68
3,8,2,0,4,1,1,0.7,0.6667,0.84,0.0896,14
2,4,3,0,2,1,1,0.48,0.4697,0.63,0.2239,3
1,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
1,1,20,0,5,1,2,0.24,0.2273,0.7,0.194,62
3,8,17,0,5,1,1,0.74,0.7121,0.74,0.2537,489
3,8,22,0,1,1,1,0.64,0.6212,0.38,0.2985,153
2,4,4,0,3,1,1,0.4,0.4091,1,0.1045,9
1,1,22,0,0,0,1,0.26,0.2727,0.6,0.1045,58
3,7,11,1,3,0,1,0.82,0.7576,0.46,0.1343,485
2,6,2,0,3,1,1,0.5,0.4848,0.68,0,11
1,3,17,0,6,0,1,0.64,0.6212,0.5,0.1343,648
1,12,7,0,0,0,1,0.24,0.2121,0.56,0.3582,13
4,12,17,0,6,0,1,0.26,0.2576,0.48,0.2239,165
4,10,16,0,6,0,1,0.5,0.4848,0.45,0.194,359
2,4,4,0,1,1,1,0.46,0.4545,0.94,0.194,1
1,2,0,0,2,1,2,0.26,0.303,0.6,0,14
3,6,15,0,0,0,1,0.86,0.7424,0.28,0.2239,487
2,4,8,0,1,1,2,0.46,0.4545,0.55,0.2985,339
4,9,11,0,3,1,2,0.66,0.6061,0.83,0.1045,151
1,1,15,0,0,0,1,0.46,0.4545,0.51,0.2985,265
4,10,12,0,2,1,1,0.56,0.5303,0.56,0.2985,199
4,10,13,0,4,1,1,0.5,0.4848,0.45,0.5821,164
1,2,14,0,4,1,1,0.2,0.1818,0.27,0.2836,48
2,6,13,0,5,1,1,0.7,0.6364,0.42,0.2537,393
3,8,17,0,3,1,1,0.72,0.6515,0.45,0.1343,608
4,10,3,0,3,1,1,0.44,0.4394,0.67,0.2239,3
1,3,6,0,0,0,2,0.4,0.4091,0.94,0.1045,11
3,9,12,0,3,1,1,0.74,0.6818,0.58,0.2239,212
3,6,9,0,0,0,1,0.66,0.6212,0.54,0.0896,206
3,9,3,0,3,1,2,0.54,0.5152,0.94,0.0896,6
1,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
3,7,0,0,3,1,2,0.78,0.7121,0.52,0.1642,45
4,12,3,0,3,1,1,0.28,0.3182,0.65,0,3
1,3,19,0,4,1,1,0.48,0.4697,0.41,0.3284,328
2,5,20,0,0,0,1,0.66,0.6212,0.61,0.4179,274
1,12,16,0,4,1,2,0.26,0.2424,0.52,0.2836,174
4,11,22,0,3,1,1,0.36,0.3485,0.71,0.1343,106
4,10,15,0,5,1,1,0.66,0.6212,0.41,0,270
2,5,20,0,3,1,1,0.7,0.6515,0.61,0.1642,340
4,11,23,0,4,1,2,0.34,0.3333,0.57,0.1642,82
3,7,0,0,0,0,1,0.76,0.7273,0.66,0,149
1,3,19,0,6,0,1,0.34,0.3636,0.25,0,184
2,6,23,0,1,1,2,0.7,0.6515,0.58,0.2239,80
3,6,22,0,1,1,1,0.66,0.6212,0.29,0.3881,187
1,1,12,0,6,0,1,0.3,0.2879,0.61,0.2836,314
3,7,14,0,6,0,2,0.96,0.8636,0.3,0.1343,308
2,5,8,0,4,1,1,0.48,0.4697,0.82,0.194,421
2,6,12,0,6,0,1,0.74,0.697,0.66,0.0896,420
1,2,12,0,6,0,2,0.3,0.3182,0.7,0.0896,300
3,7,17,0,4,1,1,0.86,0.7576,0.36,0.2537,569
3,6,9,0,4,1,1,0.7,0.6364,0.42,0.2239,260
2,5,1,0,2,1,2,0.52,0.5,0.59,0.2239,9
3,6,8,0,1,1,1,0.66,0.6212,0.69,0.194,608
4,10,2,0,5,1,1,0.32,0.303,0.66,0.2836,4
1,12,8,0,6,0,1,0.26,0.2121,0.44,0.6119,29
4,10,8,0,3,1,2,0.54,0.5152,0.88,0.3881,404
2,4,12,0,0,0,1,0.48,0.4697,0.44,0.1045,584
4,11,3,0,3,1,2,0.26,0.2576,0.7,0.2239,3
3,7,16,0,0,0,1,0.8,0.7273,0.43,0.1343,521
3,8,8,0,2,1,2,0.7,0.6515,0.7,0.1642,705
1,3,10,0,3,1,1,0.32,0.303,0.49,0.2836,76
1,1,21,0,5,1,1,0.24,0.2121,0.41,0.2836,102
4,12,23,0,0,0,3,0.36,0.3636,1,0.0896,51
4,10,19,0,3,1,2,0.64,0.6212,0.53,0.0896,572
2,4,3,0,6,0,1,0.34,0.3182,0.49,0.2239,26
1,1,3,0,3,1,2,0.44,0.4394,0.51,0.4925,4
4,10,3,0,5,1,1,0.3,0.2879,0.7,0.2836,8
4,12,17,0,5,1,1,0.34,0.3485,0.66,0.1045,362
3,9,3,0,2,1,2,0.62,0.5455,0.94,0.2836,6
3,8,15,0,5,1,1,0.8,0.697,0.29,0.1642,249
1,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64
4,11,16,0,4,1,1,0.52,0.5,0.48,0.194,267
1,2,16,0,4,1,3,0.38,0.3939,0.62,0.2836,71
4,10,7,0,0,0,3,0.42,0.4242,0.58,0.1642,35
1,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
1,3,2,0,0,0,2,0.36,0.3485,0.4,0.1642,80
1,1,23,0,2,1,1,0.26,0.2727,0.81,0.1045,41
2,5,22,0,4,1,1,0.54,0.5152,0.83,0.194,172
2,5,6,0,4,1,1,0.34,0.3182,0.66,0.2537,89
3,7,7,0,6,0,1,0.64,0.6061,0.65,0,45
2,4,15,0,2,1,1,0.4,0.4091,0.46,0.4627,68
